GEO Run ID	offset
SRR15513148	"28,15;29,15"
SRR15513149	"28,15;29,15"
SRR15513151	"28,15;29,15"
SRR15513152	"28,15;29,15"
SRR15513159	"29,15;30,15"
SRR15513160	"28,15;29,15;30,15"
SRR15513161	"28,15;29,15"
SRR15513162	"28,15;29,15;30,15"
SRR15513163	"28,15;29,15;30,15"
SRR15513164	"28,15;29,15"
SRR15513165	"28,15;29,15;30,15"
SRR15513172	"29,15;30,15"
SRR15513174	"28,15;29,15;30,15"
SRR15513179	"28,15;29,15;30,15"
SRR15513180	"28,15;29,15;30,15"
SRR15513186	"28,15;29,15;30,15"
SRR15513191	"28,15;29,15;30,15"
SRR15513193	"28,15;29,15;30,15"
SRR15513195	"28,15;29,15"
SRR15513197	"28,15;29,15;30,15"
SRR15513199	"29,12"
SRR15513200	"28,15;29,15;30,15"
SRR15513201	"28,15;29,15;30,15"
SRR15513202	"28,15;29,15;30,15"
SRR15513203	"28,15;29,15;30,15"
SRR15513204	"28,15;29,15;30,15"
SRR15513205	"28,15;29,15;30,15"
SRR15513206	"28,15;29,15;30,15"
SRR15513207	"28,15;29,15;30,15"
SRR15513208	"28,15;29,15;30,15"
SRR15513209	"28,15;29,15;30,15"
SRR15513210	"28,15;29,15;30,15"
SRR15513211	"28,15;29,15;30,15"
SRR15513212	"28,15;29,15;30,15"
SRR15513216	"28,15;29,15;30,15"
SRR15513217	"28,15;29,15;30,15"
SRR15513218	"28,15;29,15;30,15"
SRR15513219	"28,15;29,15;30,15"
SRR15513220	
SRR15513221	"28,15;29,15"
SRR15513222	"28,15;29,15"
SRR15513223	"28,15;29,15;30,15"
SRR15513224	
SRR15513225	
SRR15513226	
SRR15513150	"28,15;29,15"
SRR15513198	"28,15;29,15;30,15"
SRR1528686	"29,15;30,15;31,15"
SRR1528687	"29,15;30,15;31,15"
SRR1528688	"29,15;30,15;31,15"
SRR1528689	"29,15;30,15;31,15"
