Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Specimen_Name,SRA Study
SRR24707452,AMPLICON,592,11023461,PRJNA975142,SAMN35310360,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",6003171,FRED HUTCH,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486368,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n724-s516,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n724-s516,4186LAR-LTO,SRP438987
SRR24707462,AMPLICON,599,693518,PRJNA975142,SAMN35310351,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",499274,FRED HUTCH,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486358,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n724-s502,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m69n724-s502,NTC_m69_2A8,SRP438987
SRR24707463,AMPLICON,598,13170969,PRJNA975142,SAMN35310350,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",8454515,FRED HUTCH,missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486357,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n723-s520,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n723-s520,2371PAT-LTO,SRP438987
SRR24707464,AMPLICON,597,80282957,PRJNA975142,SAMN35310349,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",50160402,FRED HUTCH,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486356,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n723-s518,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n723-s518,1705MAH-RTO,SRP438987
SRR24707465,AMPLICON,599,4000294,PRJNA975142,SAMN35310124,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",2592820,FRED HUTCH,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486355,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n703-s503,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n703-s503,1705MAH-AIR,SRP438987
SRR24707469,AMPLICON,593,10951845,PRJNA975142,SAMN35310280,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",6165969,FRED HUTCH,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486351,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n719-s503,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n719-s503,9914DAN-LPG,SRP438987
SRR24707470,AMPLICON,595,13377673,PRJNA975142,SAMN35310279,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",7977297,FRED HUTCH,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486350,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n719-s502,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n719-s502,9755MAS-PG,SRP438987
SRR24707471,AMPLICON,597,1764572,PRJNA975142,SAMN35310117,"MIGS/MIMS/MIMARKS.human-vaginal,MIMARKS.survey",1175527,FRED HUTCH,missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486349,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n702-s510,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n702-s510,0002MCQ-AIR,SRP438987
SRR24707476,AMPLICON,592,12868043,PRJNA975142,SAMN35310274,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",7316418,FRED HUTCH,missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486344,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s517,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m69n718-s517,3347MCL-RTO,SRP438987
SRR24707478,AMPLICON,594,71962287,PRJNA975142,SAMN35310272,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",41779243,FRED HUTCH,missing,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX20486342,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s515,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n718-s515,1292FES-LTO,SRP438987
SRR24707479,AMPLICON,586,9580587,PRJNA975142,SAMN35310271,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",5280866,FRED HUTCH,missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486341,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s513,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m69n718-s513,1265SPE-RTO,SRP438987
SRR24707480,AMPLICON,593,10369372,PRJNA975142,SAMN35310270,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",6714072,FRED HUTCH,missing,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486340,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s511,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n718-s511,9671XAI-PG,SRP438987
SRR24707481,AMPLICON,591,8672893,PRJNA975142,SAMN35310269,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",4809862,FRED HUTCH,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486339,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s510,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n718-s510,9664HAM-PG,SRP438987
