"Project ID","Cancer Type","Data Source","Accession No.",Country,"Sample ID","Sample Type","Construction Protocol","Transcriptome Analysis","Metabolic Profile"
MCC-001,"Merkel Cell Carcinoma","NCBI (GEO)",GSE117988,USA,MCC-001-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-001,"Merkel Cell Carcinoma","NCBI (GEO)",GSE117988,USA,MCC-001-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-001,"Merkel Cell Carcinoma","NCBI (GEO)",GSE117988,USA,MCC-001-03-1A,PBMC,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-001,"Merkel Cell Carcinoma","NCBI (GEO)",GSE117988,USA,MCC-001-04-1A,PBMC,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-001,"Merkel Cell Carcinoma","NCBI (GEO)",GSE117988,USA,MCC-001-05-1A,PBMC,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-001,"Merkel Cell Carcinoma","NCBI (GEO)",GSE117988,USA,MCC-001-06-1A,PBMC,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-002,"Merkel Cell Carcinoma","NCBI (GEO)",GSE118056,USA,MCC-002-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-002,"Merkel Cell Carcinoma","NCBI (GEO)",GSE118056,USA,MCC-002-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-002,"Merkel Cell Carcinoma","NCBI (GEO)",GSE118056,USA,MCC-002-03-1A,PBMC,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
MCC-002,"Merkel Cell Carcinoma","NCBI (GEO)",GSE118056,USA,MCC-002-04-1A,PBMC,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-08-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-09-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-10-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
