CART target	Ensembl ID	Category
A1BG	ENSG00000121410	Predicted
ACP3	ENSG00000014257	Predicted
ACTBL2	ENSG00000169067	Predicted
ADAM30	ENSG00000134249	Predicted
ADAMTS6	ENSG00000049192	Predicted
ADGRV1	ENSG00000164199	Predicted
AFM	ENSG00000079557	Predicted
AFP	ENSG00000081051	in clinical trials
AHSG	ENSG00000145192	Predicted
ALAS2	ENSG00000158578	Predicted
ALMS1	ENSG00000116127	Predicted
ALPG	ENSG00000163286	Predicted
ALPP	ENSG00000163283	in clinical trials
AMBP	ENSG00000106927	Predicted
ANGPT1	ENSG00000154188	Predicted
ANKRD55	ENSG00000164512	Predicted
ANO7	ENSG00000146205	Predicted
APOA1	ENSG00000118137	Predicted
APOA2	ENSG00000158874	Predicted
APOBEC3G	ENSG00000239713	Predicted
APOH	ENSG00000091583	Predicted
ARHGAP45	ENSG00000180448	Predicted
ART3	ENSG00000156219	Predicted
ATCAY	ENSG00000167654	Predicted
ATP6V0A4	ENSG00000105929	Predicted
ATP6V0D2	ENSG00000147614	Predicted
AURKA	ENSG00000087586	Predicted
AURKB	ENSG00000178999	Predicted
AXL	ENSG00000167601	in clinical trials
AZU1	ENSG00000172232	Predicted
BANK1	ENSG00000153064	Predicted
BMX	ENSG00000102010	Predicted
BNC2	ENSG00000173068	Predicted
BPI	ENSG00000101425	Predicted
BRDT	ENSG00000137948	Predicted
BSG	ENSG00000172270	in clinical trials
BTK	ENSG00000010671	Predicted
C11orf42	ENSG00000180878	Predicted
C16orf89	ENSG00000153446	Predicted
C16orf95	ENSG00000260456	Predicted
C17orf64	ENSG00000141371	Predicted
C2	ENSG00000166278	Predicted
C3AR1	ENSG00000171860	Predicted
C5	ENSG00000106804	Predicted
C6	ENSG00000039537	Predicted
C8orf48	ENSG00000164743	Predicted
C9orf24	ENSG00000164972	Predicted
CACNG3	ENSG00000006116	Predicted
CAPZA3	ENSG00000177938	Predicted
CARD11	ENSG00000198286	Predicted
CBL	ENSG00000110395	Predicted
CBX2	ENSG00000173894	Predicted
CC2D2A	ENSG00000048342	Predicted
CC2D2B	ENSG00000188649	Predicted
CCDC114	ENSG00000105479	Predicted
CCDC13	ENSG00000244607	Predicted
CCDC138	ENSG00000163006	Predicted
CCDC17	ENSG00000159588	Predicted
CCDC173	ENSG00000154479	Predicted
CCDC40	ENSG00000141519	Predicted
CCDC88A	ENSG00000115355	Predicted
CCNB3	ENSG00000147082	Predicted
CCR2	ENSG00000121807	Predicted
CCR8	ENSG00000179934	Predicted
CCR9	ENSG00000173585	Predicted
CD163L1	ENSG00000177675	Predicted
CD19	ENSG00000177455	in clinical trials
CD1D	ENSG00000158473	Predicted
CD1E	ENSG00000158488	Predicted
CD2	ENSG00000116824	Predicted
CD22	ENSG00000012124	in clinical trials
CD247	ENSG00000198821	Predicted
CD27	ENSG00000139193	Predicted
CD274	ENSG00000120217	in clinical trials
CD276	ENSG00000103855	in clinical trials
CD33	ENSG00000105383	in clinical trials
CD34	ENSG00000174059	in clinical trials
CD37	ENSG00000104894	Predicted
CD38	ENSG00000004468	in clinical trials
CD3D	ENSG00000167286	Predicted
