ENSG00000162390	ACOT11
ENSG00000144354	CDCA7
ENSG00000166803	PCLAF
ENSG00000276043	UHRF1
ENSG00000123219	CENPK
ENSG00000119969	HELLS
ENSG00000179750	APOBEC3B
ENSG00000189057	FAM111B
ENSG00000183856	IQGAP3
ENSG00000162062	C16orf59
ENSG00000148773	MKI67
ENSG00000169679	BUB1
ENSG00000126787	DLGAP5
ENSG00000138160	KIF11
ENSG00000112984	KIF20A
ENSG00000117724	CENPF
ENSG00000131747	TOP2A
ENSG00000071539	TRIP13
ENSG00000117399	CDC20
ENSG00000105011	ASF1B
ENSG00000175063	UBE2C
ENSG00000138180	CEP55
ENSG00000094804	CDC6
ENSG00000090889	KIF4A
ENSG00000171848	RRM2
ENSG00000087586	AURKA
ENSG00000134690	CDCA8
ENSG00000157456	CCNB2
ENSG00000115163	CENPA
ENSG00000100526	CDKN3
ENSG00000165304	MELK
ENSG00000088325	TPX2
ENSG00000170312	CDK1
ENSG00000117650	NEK2
ENSG00000101003	GINS1
ENSG00000137807	KIF23
ENSG00000151725	CENPU
ENSG00000111247	RAD51AP1
ENSG00000156970	BUB1B
ENSG00000143476	DTL
ENSG00000186185	KIF18B
ENSG00000135451	TROAP
ENSG00000143228	NUF2
ENSG00000111206	FOXM1
ENSG00000178999	AURKB
ENSG00000100162	CENPM
ENSG00000101057	MYBL2
ENSG00000127564	PKMYT1
ENSG00000175643	RMI2
ENSG00000146670	CDCA5
ENSG00000237649	KIFC1
ENSG00000131153	GINS2
ENSG00000142945	KIF2C
ENSG00000080986	NDC80
ENSG00000091651	ORC6
ENSG00000093009	CDC45
ENSG00000167513	CDT1
ENSG00000131351	HAUS8
ENSG00000161888	SPC24
ENSG00000089685	BIRC5
ENSG00000164087	POC1A
ENSG00000169245	CXCL10
ENSG00000155893	PXYLP1
ENSG00000129195	FAM64A
ENSG00000168078	PBK
ENSG00000121211	MND1
ENSG00000130487	KLHDC7B
