hg19	hg38
chr1:65339111-65339111	chr1:64873428-64873428
chr4:108991911-108991912	chr4:108070755-108070756
chr4:108999438-108999439	chr4:108078282-108078283
chr4:153244148-153244148	chr4:152322996-152322996
chr7:148543614-148543615	chr7:148846522-148846523
chr7:148543619-148543620	chr7:148846527-148846528
chr9:139390649-139390650	chr9:136496197-136496198
chr7:139390649-139390650	unknown
chr9:139390793-139390794	chr9:136496341-136496342
chr9:139390805-139390805	chr9:136496353-136496353
chr9:139390847-139390848	chr9:136496395-136496396
chr9:139390855-139390858	chr9:136496403-136496406
chr9:139390863-139390864	chr9:136496411-136496412
chr9:139390864-139390865	chr9:136496412-136496413
chr9:139390902-139390902	chr9:136496450-136496450
chr9:139399286-139399287	chr9:136504834-136504835
chr9:139418371-139418371	chr9:136523919-136523919
chr10:8115922-8115923	chr10:8073959-8073960
chr10:70332865-70332865	chr10:68573108-68573108
chr10:89711902-89711903	chr10:87952145-87952146
chr11:32417908-32417909	chr11:32396362-32396363
chr12:12043929-12043930	chr12:11890995-11890996
chr12:49420995-49420996	chr12:49027212-49027213
chr12:49434005-49434005	chr12:49040222-49040222
chr12:49434014-49434014	chr12:49040231-49040231
chr12:49446441-49446442	chr12:49052658-49052659
chr14:99723871-99723872	chr14:99257534-99257535
chr15:63986203-63986203	chr15:63694004-63694004
chr16:9009170-9009171	chr16:8915313-8915314
chr16:67645338-67645339	chr16:67611435-67611436
chr16:67646013-67646014	chr16:67612110-67612111
chr17:7578181-7578181	chr17:7674863-7674863
chr17:29548962-29548963	chr17:31221944-31221945
chr17:29553507-29553507	chr17:31226489-31226489
chr17:29553515-29553516	chr17:31226497-31226498
chr19:10940882-10940882	chr19:10830206-10830206
chr19:54647429-54647430	chr19:54143693-54143694
chr19:54649671-54649671	chr19:54145935-54145935
chr21:36164792-36164793	chr21:34792495-34792496
chr21:36259163-36259164	chr21:34886866-34886867
chr22:30403281-30403281	chr22:30007292-30007292
chr22:30416297-30416297	chr22:30020308-30020308
chrX:39931781-39931782	chrX:40072528-40072529
chrX:133549123-133549124	chrX:134415093-134415094
chrX:133549123-133549124	chrX:134415093-134415094
